image,identity,age,build,scale,lighting,pose,background,expression,seed
B_0001.png,B,young adult appearance,slightly broader build,farther portrait framing,soft window lighting,slightly turned to the left,softly blurred indoor background,slightly serious expression,4103233907
B_0002.png,B,young adult appearance,slightly heavier natural build,farther portrait framing,warm indoor lighting,front-facing pose,subtle office background,calm expression,2829250515
B_0003.png,B,current age appearance,average natural build,farther portrait framing,soft window lighting,slightly turned to the right,classroom background,subtle natural smile,2345503838
B_0004.png,B,slightly younger adult appearance,average natural build,close-up portrait framing,dim indoor lighting,slightly turned to the right,classroom background,subtle natural smile,2318634820
B_0005.png,B,older adult appearance,slender natural build,farther portrait framing,bright indoor lighting,front-facing pose,natural outdoor background,subtle natural smile,1274644011
B_0006.png,B,middle-aged appearance,average natural build,close-up portrait framing,natural morning daylight,mild three-quarter view,subtle office background,neutral relaxed expression,2083849946
B_0007.png,B,older adult appearance,average natural build,farther portrait framing,overcast outdoor lighting,front-facing pose,softly blurred indoor background,subtle natural smile,2649148322
B_0008.png,B,older adult appearance,slightly broader build,farther portrait framing,dim indoor lighting,slightly looking upward,library background,neutral relaxed expression,3033954665
B_0009.png,B,current age appearance,slightly broader build,farther portrait framing,bright indoor lighting,front-facing pose,plain indoor wall,subtle natural smile,4283708902
B_0010.png,B,slightly older adult appearance,average natural build,farther portrait framing,bright indoor lighting,mild three-quarter view,corridor background,subtle natural smile,3587448918
B_0011.png,B,current age appearance,slender natural build,close-up portrait framing,natural morning daylight,slightly turned to the left,corridor background,subtle natural smile,3987161782
B_0012.png,B,slightly older adult appearance,slightly heavier natural build,close-up portrait framing,soft window lighting,slightly turned to the left,corridor background,slightly serious expression,1373577681
B_0013.png,B,older adult appearance,average natural build,close-up portrait framing,cool indoor lighting,slightly looking upward,corridor background,neutral relaxed expression,109358337
B_0014.png,B,slightly older adult appearance,slightly heavier natural build,medium portrait framing,cool indoor lighting,slightly looking downward,softly blurred indoor background,subtle natural smile,2610864534
B_0015.png,B,slightly older adult appearance,slender natural build,head and shoulders framing,natural morning daylight,mild three-quarter view,subtle office background,slightly serious expression,2206317573
B_0016.png,B,older adult appearance,slender natural build,farther portrait framing,soft afternoon daylight,slightly looking upward,plain indoor wall,subtle natural smile,1548981099
B_0017.png,B,current age appearance,average natural build,head and shoulders framing,overcast outdoor lighting,slightly looking downward,library background,calm expression,3916659673
B_0018.png,B,current age appearance,slender natural build,close-up portrait framing,soft window lighting,slightly looking upward,subtle office background,calm expression,195392326
B_0019.png,B,slightly younger adult appearance,slightly heavier natural build,medium portrait framing,overcast outdoor lighting,front-facing pose,subtle office background,calm expression,1851945388
B_0020.png,B,young adult appearance,average natural build,farther portrait framing,soft afternoon daylight,slightly looking downward,classroom background,calm expression,4157535939
B_0021.png,B,slightly older adult appearance,slightly broader build,close-up portrait framing,overcast outdoor lighting,slightly looking downward,plain indoor wall,calm expression,1340115179
B_0022.png,B,current age appearance,average natural build,head and shoulders framing,natural morning daylight,slightly turned to the left,library background,subtle natural smile,2781797951
B_0023.png,B,young adult appearance,slightly broader build,medium portrait framing,natural morning daylight,slightly looking upward,library background,calm expression,1584471888
B_0024.png,B,slightly older adult appearance,slightly broader build,medium portrait framing,warm indoor lighting,slightly looking upward,plain indoor wall,calm expression,1527874263
B_0025.png,B,middle-aged appearance,slightly broader build,head and shoulders framing,overcast outdoor lighting,front-facing pose,plain indoor wall,subtle natural smile,4164196715
B_0026.png,B,older adult appearance,slender natural build,farther portrait framing,natural morning daylight,front-facing pose,classroom background,calm expression,1816334803
B_0027.png,B,slightly older adult appearance,slender natural build,farther portrait framing,cool indoor lighting,slightly looking upward,plain indoor wall,subtle natural smile,3902229960
B_0028.png,B,slightly older adult appearance,slender natural build,close-up portrait framing,overcast outdoor lighting,slightly looking downward,subtle office background,calm expression,4098295660
B_0029.png,B,slightly older adult appearance,slender natural build,farther portrait framing,soft window lighting,slightly looking downward,softly blurred indoor background,calm expression,1805002570
B_0030.png,B,slightly older adult appearance,slightly broader build,farther portrait framing,warm indoor lighting,slightly turned to the left,classroom background,subtle natural smile,1826000765
